user,time,button,state,x,y
Nikita,1649452732.4908004,NoButton,Move,977,672
Nikita,1649452732.4928682,NoButton,Move,978,673
Nikita,1649452732.4948153,NoButton,Move,978,674
Nikita,1649452732.4978101,NoButton,Move,979,675
Nikita,1649452732.5018146,NoButton,Move,979,676
Nikita,1649452732.504843,NoButton,Move,980,677
Nikita,1649452732.5090308,NoButton,Move,980,678
Nikita,1649452732.516032,NoButton,Move,980,679
Nikita,1649452732.517032,NoButton,Move,981,679
Nikita,1649452734.0963984,NoButton,Move,981,679
Nikita,1649452734.1023602,NoButton,Move,980,679
Nikita,1649452734.105369,NoButton,Move,979,679
Nikita,1649452734.106352,NoButton,Move,979,680
Nikita,1649452734.1093602,NoButton,Move,978,680
Nikita,1649452734.1123602,NoButton,Move,977,680
Nikita,1649452734.1153505,NoButton,Move,976,680
Nikita,1649452734.1187992,NoButton,Move,975,681
Nikita,1649452734.1203835,NoButton,Move,974,681
Nikita,1649452734.123344,NoButton,Move,973,681
Nikita,1649452734.1263819,NoButton,Move,972,681
Nikita,1649452734.1283817,NoButton,Move,971,681
Nikita,1649452734.130372,NoButton,Move,970,682
Nikita,1649452734.132374,NoButton,Move,969,682
Nikita,1649452734.1343825,NoButton,Move,968,682
Nikita,1649452734.1363742,NoButton,Move,967,682
Nikita,1649452734.138383,NoButton,Move,966,682
Nikita,1649452734.1408014,NoButton,Move,964,682
Nikita,1649452734.1428246,NoButton,Move,963,682
Nikita,1649452734.144824,NoButton,Move,962,682
Nikita,1649452734.1458194,NoButton,Move,961,682
Nikita,1649452734.14682,NoButton,Move,961,683
Nikita,1649452734.1478207,NoButton,Move,960,683
Nikita,1649452734.1498258,NoButton,Move,959,683
Nikita,1649452734.1518254,NoButton,Move,958,683
Nikita,1649452734.1528192,NoButton,Move,957,683
Nikita,1649452734.154824,NoButton,Move,956,683
Nikita,1649452734.1567984,NoButton,Move,955,683
Nikita,1649452734.1587641,NoButton,Move,954,683
Nikita,1649452734.1597528,NoButton,Move,953,683
Nikita,1649452734.161761,NoButton,Move,952,683
Nikita,1649452734.1627526,NoButton,Move,951,683
Nikita,1649452734.164753,NoButton,Move,950,683
Nikita,1649452734.1657543,NoButton,Move,949,683
Nikita,1649452734.167753,NoButton,Move,948,683
Nikita,1649452734.168753,NoButton,Move,947,683
Nikita,1649452734.1697514,NoButton,Move,946,683
Nikita,1649452734.1717634,NoButton,Move,945,683
Nikita,1649452734.1737516,NoButton,Move,944,683
Nikita,1649452734.1747518,NoButton,Move,943,683
Nikita,1649452734.1757514,NoButton,Move,942,683
Nikita,1649452734.177798,NoButton,Move,941,683
Nikita,1649452734.178755,NoButton,Move,940,683
Nikita,1649452734.180761,NoButton,Move,939,683
Nikita,1649452734.1817617,NoButton,Move,938,683
Nikita,1649452734.1827617,NoButton,Move,937,683
Nikita,1649452734.1837602,NoButton,Move,936,683
Nikita,1649452734.1847606,NoButton,Move,935,683
Nikita,1649452734.1867986,NoButton,Move,934,683
Nikita,1649452734.187282,NoButton,Move,933,683
Nikita,1649452734.1882887,NoButton,Move,932,683
Nikita,1649452734.1892886,NoButton,Move,931,683
Nikita,1649452734.191299,NoButton,Move,930,683
Nikita,1649452734.1922903,NoButton,Move,929,683
Nikita,1649452734.1932905,NoButton,Move,928,683
Nikita,1649452734.194292,NoButton,Move,927,683
Nikita,1649452734.1952891,NoButton,Move,926,683
Nikita,1649452734.1979635,NoButton,Move,925,683
Nikita,1649452734.1989622,NoButton,Move,924,683
Nikita,1649452734.1999629,NoButton,Move,923,683
Nikita,1649452734.2009642,NoButton,Move,921,683
Nikita,1649452734.201962,NoButton,Move,920,683
Nikita,1649452734.202962,NoButton,Move,919,683
Nikita,1649452734.203962,NoButton,Move,918,683
Nikita,1649452734.204962,NoButton,Move,917,683
Nikita,1649452734.2059627,NoButton,Move,916,683
Nikita,1649452734.2079656,NoButton,Move,915,683
Nikita,1649452734.2089713,NoButton,Move,914,683
Nikita,1649452734.2099755,NoButton,Move,913,683
Nikita,1649452734.2109714,NoButton,Move,912,683
Nikita,1649452734.2119722,NoButton,Move,911,683
Nikita,1649452734.2129712,NoButton,Move,909,683
Nikita,1649452734.2149713,NoButton,Move,908,683
Nikita,1649452734.2159715,NoButton,Move,907,683
Nikita,1649452734.2169707,NoButton,Move,906,683
Nikita,1649452734.2179706,NoButton,Move,905,683
Nikita,1649452734.2189717,NoButton,Move,904,683
Nikita,1649452734.2199712,NoButton,Move,903,683
Nikita,1649452734.220974,NoButton,Move,902,683
Nikita,1649452734.2219748,NoButton,Move,901,683
Nikita,1649452734.2229724,NoButton,Move,900,683
Nikita,1649452734.2249713,NoButton,Move,899,683
Nikita,1649452734.2259707,NoButton,Move,898,683
Nikita,1649452734.226971,NoButton,Move,897,683
Nikita,1649452734.2279713,NoButton,Move,896,683
Nikita,1649452734.2289717,NoButton,Move,895,683
Nikita,1649452734.2299707,NoButton,Move,894,683
Nikita,1649452734.2309773,NoButton,Move,893,683
Nikita,1649452734.231974,NoButton,Move,892,683
Nikita,1649452734.2329717,NoButton,Move,891,683
Nikita,1649452734.233976,NoButton,Move,890,683
Nikita,1649452734.2349708,NoButton,Move,889,683
Nikita,1649452734.235972,NoButton,Move,888,683
Nikita,1649452734.2369716,NoButton,Move,887,683
Nikita,1649452734.2379725,NoButton,Move,886,683
